Time:1, step:13, uav_id:1, uav_pos:[279.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:13, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:13, uav_id:3, uav_pos:[179.85558414 148.30666184 100.        ], uav_lab:4
Time:1, step:13, uav_id:4, uav_pos:[256.11604023 167.28896934 100.        ], uav_lab:5
Time:1, step:13, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:13, uav_id:6, uav_pos:[178.89367199 245.42794657 100.        ], uav_lab:7
Time:1, step:13, uav_id:7, uav_pos:[279.11151981 245.87927723 100.        ], uav_lab:8
Time:1, step:13, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:14, uav_id:0, uav_pos:[125.84127617 167.67481804 100.        ], uav_lab:4
Time:1, step:14, uav_id:1, uav_pos:[289.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:14, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:14, uav_id:3, uav_pos:[189.85558414 148.30666359 100.        ], uav_lab:4
Time:1, step:14, uav_id:4, uav_pos:[265.74226952 164.58051855 100.        ], uav_lab:5
Time:1, step:14, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:14, uav_id:6, uav_pos:[188.89367199 245.42794832 100.        ], uav_lab:7
Time:1, step:14, uav_id:7, uav_pos:[289.11151981 245.87927898 100.        ], uav_lab:8
Time:1, step:14, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:15, uav_id:0, uav_pos:[131.24429893 176.08952808 100.        ], uav_lab:4
Time:1, step:15, uav_id:1, uav_pos:[299.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:15, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:15, uav_id:3, uav_pos:[199.85558414 148.30666534 100.        ], uav_lab:4
Time:1, step:15, uav_id:4, uav_pos:[275.56075096 162.68383068 100.        ], uav_lab:5
Time:1, step:15, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
Time:1, step:15, uav_id:6, uav_pos:[198.89367199 245.42795007 100.        ], uav_lab:7
Time:1, step:15, uav_id:7, uav_pos:[299.11151981 245.87928073 100.        ], uav_lab:8
Time:1, step:15, uav_id:8, uav_pos:[299.96536541 249.16842671 100.        ], uav_lab:8
Time:1, step:16, uav_id:0, uav_pos:[136.6473217  184.50423813 100.        ], uav_lab:4
Time:1, step:16, uav_id:1, uav_pos:[299.99622154  50.27688897 100.        ], uav_lab:2
Time:1, step:16, uav_id:2, uav_pos:[299.9999752   50.02238239 100.        ], uav_lab:2
Time:1, step:16, uav_id:3, uav_pos:[209.85558414 148.30666709 100.        ], uav_lab:5
Time:1, step:16, uav_id:4, uav_pos:[285.56074905 162.67709472 100.        ], uav_lab:5
Time:1, step:16, uav_id:5, uav_pos:[299.97577095 150.69570422 100.        ], uav_lab:5
